part,job,operation,machine,event,time,queue_length,queue_ops,run_meta,delay
P4,J4,O042,M1,start,293.0,3.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P20,J20,O202,M1,queued,299.0,4.0,"O221,O192,O133,O202","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P34,J34,O342,M2,queued,299.1,7.0,"O152,O012,O293,O062,O393,O253,O342","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P26,J26,O263,M6,end,301.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P26,J26,,,done,301.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P36,J36,O362,M6,start,301.1,3.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P27,J27,O273,M7,queued,301.1,4.0,"O022,O053,O283,O273","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P14,J14,O141,M4,end,302.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P40,J40,O402,M4,start,302.1,5.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P8,J8,O082,M8,end,305.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P18,J18,O183,M8,start,305.1,3.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P31,J31,O312,M2,end,308.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P15,J15,O152,M2,start,308.1,6.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P14,J14,O142,M4->M1,delivery,308.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",6.0
P8,J8,O083,M8->M1,delivery,312.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",7.0
P17,J17,O172,M5,end,313.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P30,J30,O303,M5,start,313.1,3.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P31,J31,O313,M2->M8,delivery,314.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",6.0
P14,J14,O142,M1,queued,315.1,5.0,"O221,O192,O133,O202,O142","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P17,J17,O173,M5->M8,delivery,318.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",7.0
P4,J4,O042,M1,end,319.0,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P22,J22,O221,M1,start,319.0,4.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P8,J8,O083,M1,queued,320.1,5.0,"O192,O133,O202,O142,O083","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P31,J31,O313,M8,queued,321.1,4.0,"O163,O352,O333,O313","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P21,J21,O211,M7,end,323.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P2,J2,O022,M7,start,323.1,3.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P4,J4,O043,M1->M6,delivery,325.0,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",8.0
P17,J17,O173,M8,queued,326.1,5.0,"O163,O352,O333,O313,O173","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P40,J40,O402,M4,end,328.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P7,J7,O073,M4,start,328.1,4.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P36,J36,O362,M6,end,331.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P38,J38,O383,M6,start,331.1,2.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P21,J21,O212,M7,queued,331.1,4.0,"O053,O283,O273,O212","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P4,J4,O043,M6,queued,334.0,3.0,"O233,O123,O043","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P15,J15,O152,M2,end,334.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P1,J1,O012,M2,start,334.1,5.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P40,J40,O403,M4->M6,delivery,334.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",8.0
P18,J18,O183,M8,end,335.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P18,J18,,,done,335.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P16,J16,O163,M8,start,335.1,4.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P36,J36,O363,M6->M5,delivery,337.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",6.0
P15,J15,O153,M2->M6,delivery,340.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",8.0
P40,J40,O403,M6,queued,343.1,4.0,"O233,O123,O043,O403","{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P30,J30,O303,M5,end,344.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P30,J30,,,done,344.1,,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
P32,J32,O322,M5,start,344.1,2.0,,"{'release_time': 1e-06, 'n_max': 5, 'total_ops': 154}",
