part,job,operation,machine,event,time,queue_length,queue_ops,run_meta,delay
P22,J22,O225,M7->M8,delivery,629.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",10.0
P20,J20,O205,M5->M4,delivery,631.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",8.0
P25,J25,O254,M1,end,632.0,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P28,J28,O285,M1,start,632.0,0.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P25,J25,O255,M1,queued,639.0,1.0,O255,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P19,J19,O195,M4,end,639.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P19,J19,,,done,639.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P29,J29,O295,M4,start,639.1,0.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P22,J22,O225,M8,queued,640.1,1.0,O225,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P20,J20,O205,M4,queued,640.1,1.0,O205,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P13,J13,O135,M5,end,652.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P13,J13,,,done,652.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P27,J27,O274,M2,end,652.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P27,J27,,,done,652.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P2,J2,O024,M5,start,652.1,0.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P35,J35,O355,M2,start,652.1,0.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P9,J9,O094,M7,end,655.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P16,J16,O164,M7,start,655.1,0.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P1,J1,O014,M8,end,659.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P10,J10,O105,M6,end,659.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P10,J10,,,done,659.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P22,J22,O225,M8,start,659.1,0.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P8,J8,O084,M6,start,659.1,0.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P9,J9,O095,M7->M2,delivery,661.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",8.0
P28,J28,O285,M1,end,663.0,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P28,J28,,,done,663.0,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P25,J25,O255,M1,start,663.0,0.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P29,J29,O295,M4,end,665.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P29,J29,,,done,665.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P20,J20,O205,M4,start,665.1,0.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P1,J1,O015,M8->M1,delivery,666.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",7.0
P9,J9,O095,M2,queued,670.1,1.0,O095,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P1,J1,O015,M1,queued,674.1,1.0,O015,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P35,J35,O355,M2,end,678.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P35,J35,,,done,678.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P9,J9,O095,M2,start,678.1,0.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P2,J2,O024,M5,end,683.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P22,J22,O225,M8,end,685.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P22,J22,,,done,685.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P16,J16,O164,M7,end,686.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P16,J16,,,done,686.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P8,J8,O084,M6,end,689.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P8,J8,,,done,689.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P2,J2,O025,M5->M4,delivery,689.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",8.0
P25,J25,O255,M1,end,694.0,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P25,J25,,,done,694.0,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P1,J1,O015,M1,start,694.0,0.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P20,J20,O205,M4,end,696.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P20,J20,,,done,696.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P2,J2,O025,M4,queued,698.1,1.0,O025,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P2,J2,O025,M4,start,698.1,0.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P9,J9,O095,M2,end,704.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P9,J9,,,done,704.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P1,J1,O015,M1,end,724.0,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P1,J1,,,done,724.0,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P2,J2,O025,M4,end,729.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P2,J2,,,done,729.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
